number, RTT, Drift, t0, t1, t2, t3
1,0.316498995,-0.371415496,39:23.9,39:23.4,39:23.4,39:23.6
2,0.151678562,-0.452780724,39:34.1,39:33.6,39:33.6,39:33.9
3,0.20126462,-0.473022819,39:44.3,39:43.7,39:43.7,39:44.1
4,0.151875257,-0.44992125,39:54.4,39:53.9,39:53.9,39:54.3
5,0.152676821,-0.452272058,40:04.6,40:04.1,40:04.1,40:04.4
6,0.151582241,-0.452512503,40:14.8,40:14.2,40:14.2,40:14.6
7,0.148982763,-0.452022195,40:24.9,40:24.4,40:24.4,40:24.8
8,0.156009912,-0.453134656,40:35.1,40:34.5,40:34.5,40:34.9
9,0.161837816,-0.447583318,40:45.2,40:44.7,40:44.7,40:45.1
10,0.177166939,-0.442108631,40:55.4,40:54.9,40:54.9,40:55.2
11,0.154061079,-0.451402307,41:05.6,41:05.0,41:05.0,41:05.4
12,0.262011051,-0.504944801,41:15.8,41:15.2,41:15.2,41:15.6
13,0.043779373,-0.442073822,41:25.9,41:25.4,41:25.4,41:25.8
14,0.030348301,-0.456502199,41:35.9,41:35.4,41:35.4,41:35.9
15,0.023344278,-0.45176518,41:45.9,41:45.5,41:45.5,41:45.9
16,0.069875717,-0.474364996,41:56.0,41:55.5,41:55.5,41:55.9
17,0.022656202,-0.452528834,42:06.0,42:05.6,42:05.6,42:06.0
18,0.023992538,-0.451506138,42:16.1,42:15.6,42:15.6,42:16.0
19,0.140090466,-0.510761261,42:26.2,42:25.6,42:25.6,42:26.1
20,0.019536018,-0.451567173,42:36.2,42:35.8,42:35.8,42:36.2
21,0.021697521,-0.452900887,42:46.3,42:45.8,42:45.8,42:46.2
22,0.329730749,-0.594988227,42:56.6,42:55.8,42:55.8,42:56.3
23,0.03015089,-0.446324587,43:06.6,43:06.2,43:06.2,43:06.6
24,0.025300741,-0.454273343,43:16.6,43:16.2,43:16.2,43:16.6
25,0.02214551,-0.452445626,43:26.7,43:26.2,43:26.2,43:26.6
26,0.019403696,-0.45171082,43:36.7,43:36.2,43:36.2,43:36.7
27,0.021746874,-0.452557445,43:46.7,43:46.3,43:46.3,43:46.7
28,-0.131302357,-0.144780636,43:56.6,43:56.5,43:56.5,43:56.7
29,0.192073345,-0.021310091,44:06.8,44:06.7,44:06.7,44:06.6
30,0.154096127,-0.002237082,44:16.9,44:16.9,44:16.9,44:16.8
31,0.154642105,4.36E-05,44:27.1,44:27.0,44:27.0,44:26.9
32,0.392920256,-0.118172526,44:37.5,44:37.2,44:37.2,44:37.1
33,0.153960228,-0.003061056,44:47.6,44:47.6,44:47.6,44:47.5
34,0.342793465,-0.096323729,44:58.0,44:57.7,44:57.7,44:57.6
35,0.157200098,-0.000747085,45:08.2,45:08.1,45:08.1,45:08.0
36,0.163554907,-0.00572598,45:18.3,45:18.2,45:18.2,45:18.2
37,0.162491798,-0.003642321,45:28.5,45:28.4,45:28.4,45:28.3
38,0.149617195,-0.001424074,45:38.6,45:38.6,45:38.6,45:38.5
39,0.158280849,-0.000937462,45:48.8,45:48.7,45:48.7,45:48.6
40,0.15446353,-0.003260255,45:59.0,45:58.9,45:58.9,45:58.8
41,0.152434349,-0.003908634,46:09.1,46:09.0,46:09.0,46:09.0
42,0.155233622,-0.002382636,46:19.3,46:19.2,46:19.2,46:19.1
43,0.342195034,-0.055969238,46:29.6,46:29.4,46:29.4,46:29.3
44,0.173821211,0.004607558,46:39.8,46:39.7,46:39.7,46:39.6
45,0.40305233,-0.126346588,46:50.2,46:49.9,46:49.9,46:49.8
46,0.161839247,0.000470281,47:00.4,47:00.3,47:00.3,47:00.2
47,0.218229294,-0.035078287,47:10.6,47:10.4,47:10.4,47:10.4
48,0.167713642,0.003061771,47:20.8,47:20.7,47:20.7,47:20.6
49,0.168242216,0.001116395,47:30.9,47:30.8,47:30.8,47:30.8
50,0.156508446,-0.003114939,47:41.1,47:41.0,47:41.0,47:40.9
51,0.158852339,-0.004154325,47:51.2,47:51.2,47:51.2,47:51.1
52,0.158382416,-0.004362106,48:01.4,48:01.3,48:01.3,48:01.2
53timeout,,,,,,
54,0.164062023,-0.00012064,48:24.6,48:24.5,48:24.5,48:24.4
55,0.158214092,-0.002491236,48:34.7,48:34.7,48:34.7,48:34.6
56,0.156240463,-0.00372529,48:44.9,48:44.8,48:44.8,48:44.7
57,0.159688234,-0.004284739,48:55.1,48:55.0,48:55.0,48:54.9
58,0.336127043,0.085912347,49:05.4,49:05.3,49:05.3,49:05.1
59,0.159906864,-0.001853466,49:15.6,49:15.5,49:15.5,49:15.4
60,0.159255743,-0.001770377,49:25.7,49:25.6,49:25.6,49:25.6
61,0.24251008,-0.031155944,49:36.0,49:35.8,49:35.8,49:35.7
62,0.159035444,-0.002148509,49:46.1,49:46.1,49:46.1,49:46.0
63timeout,,,,,,
64,0.173686504,-0.009017706,50:09.3,50:09.2,50:09.2,50:09.2
65,0.157752037,-0.002636671,50:19.5,50:19.4,50:19.4,50:19.3
66,0.177040339,-0.001301169,50:29.7,50:29.6,50:29.6,50:29.5
67timeout,,,,,,
68,0.177406311,0.006411076,50:52.9,50:52.8,50:52.8,50:52.7
69,0.264980078,-0.057300925,51:03.1,51:02.9,51:02.9,51:02.9
70,0.162708282,-0.007930517,51:13.3,51:13.2,51:13.2,51:13.1
71,0.176492214,-0.003076315,51:23.5,51:23.4,51:23.4,51:23.3
